transaction_id,date,customer_id,product_id,product_name,category,store,customer_type,quantity,unit_price,discount,revenue,payment_method
TXN_20240900001,2024-09-01,CUST_0461,PRD_A202,POS Charging Cradle Dock,Accessories,"Store-101 (Connaught Place, Delhi)",RETURNING,1,699.0,0.0,699.0,UPI
TXN_20240900002,2024-09-01,CUST_0074,PRD_M302,Voice Box Mounting Bracket,Merchant Essentials,"Store-104 (Banjara Hills, Hyderabad)",NEW,2,249.0,0.0,498.0,Credit Card
TXN_20240900003,2024-09-01,CUST_0291,PRD_M304,Merchant Branding Banner Kit,Merchant Essentials,"Store-104 (Banjara Hills, Hyderabad)",RETURNING,1,599.0,0.0,599.0,Credit Card
TXN_20240900004,2024-09-01,CUST_0405,PRD_S403,Priority Settlement Annual Plan,Software & Services,"Store-101 (Connaught Place, Delhi)",RETURNING,1,1999.0,0.0,1999.0,UPI
TXN_20240900005,2024-09-01,CUST_0430,PRD_E101,Paytm Soundbox 4.0 Pro,Electronics,"Store-105 (Park Street, Kolkata)",NEW,2,1499.0,449.7,2548.3,UPI
TXN_20240900006,2024-09-01,CUST_0397,PRD_E104,Wireless Barcode Scanner BT,Electronics,"Store-103 (BKC, Mumbai)",NEW,2,1899.0,189.9,3608.1,UPI
TXN_20240900007,2024-09-01,CUST_0284,PRD_S402,Automated Tally Accounting Sync,Software & Services,"Store-104 (Banjara Hills, Hyderabad)",NEW,1,1499.0,74.95,1424.05,UPI
TXN_20240900008,2024-09-01,CUST_0396,PRD_A204,Heavy Duty POS Lanyard Strap,Accessories,"Store-102 (Indiranagar, Bengaluru)",RETURNING,2,149.0,0.0,298.0,Credit Card
TXN_20240900009,2024-09-01,CUST_0325,PRD_E102,Paytm Card POS Terminal Neo,Electronics,"Store-104 (Banjara Hills, Hyderabad)",RETURNING,2,4999.0,0.0,9998.0,UPI
TXN_20240900010,2024-09-01,CUST_0185,PRD_M302,Voice Box Mounting Bracket,Merchant Essentials,"Store-101 (Connaught Place, Delhi)",NEW,1,249.0,0.0,249.0,UPI
TXN_20240900011,2024-09-01,CUST_0285,PRD_A201,Soundbox Replacement Battery,Accessories,"Store-101 (Connaught Place, Delhi)",NEW,1,499.0,0.0,499.0,UPI
TXN_20240900012,2024-09-01,CUST_0307,PRD_M303,Cash Drawer 4-Slot Auto-Open,Merchant Essentials,"Store-104 (Banjara Hills, Hyderabad)",NEW,1,2299.0,0.0,2299.0,Debit Card
TXN_20240900013,2024-09-01,CUST_0372,PRD_S401,Paytm Business Prime Subscription,Software & Services,"Store-102 (Indiranagar, Bengaluru)",NEW,1,999.0,0.0,999.0,UPI
TXN_20240900014,2024-09-01,CUST_0072,PRD_E103,Paytm Smart All-in-One POS,Electronics,"Store-103 (BKC, Mumbai)",RETURNING,2,8499.0,0.0,16998.0,UPI
TXN_20240900015,2024-09-01,CUST_0248,PRD_M303,Cash Drawer 4-Slot Auto-Open,Merchant Essentials,"Store-103 (BKC, Mumbai)",RETURNING,2,2299.0,229.9,4368.1,Credit Card
TXN_20240900016,2024-09-01,CUST_0101,PRD_E105,Dynamic Display QR Standee,Electronics,"Store-102 (Indiranagar, Bengaluru)",RETURNING,1,1299.0,0.0,1299.0,Credit Card
TXN_20240900017,2024-09-01,CUST_0412,PRD_M304,Merchant Branding Banner Kit,Merchant Essentials,"Store-104 (Banjara Hills, Hyderabad)",NEW,1,599.0,59.9,539.1,Debit Card
TXN_20240900018,2024-09-01,CUST_0499,PRD_A204,Heavy Duty POS Lanyard Strap,Accessories,"Store-103 (BKC, Mumbai)",NEW,1,149.0,22.35,126.65,UPI
TXN_20240900019,2024-09-01,CUST_0161,PRD_E102,Paytm Card POS Terminal Neo,Electronics,"Store-104 (Banjara Hills, Hyderabad)",RETURNING,3,4999.0,749.85,14247.15,UPI
TXN_20240900020,2024-09-01,CUST_0295,PRD_M303,Cash Drawer 4-Slot Auto-Open,Merchant Essentials,"Store-103 (BKC, Mumbai)",NEW,1,2299.0,229.9,2069.1,UPI
TXN_20240900021,2024-09-01,CUST_0059,PRD_S402,Automated Tally Accounting Sync,Software & Services,"Store-102 (Indiranagar, Bengaluru)",RETURNING,1,1499.0,74.95,1424.05,Credit Card
TXN_20240900022,2024-09-01,CUST_0488,PRD_M302,Voice Box Mounting Bracket,Merchant Essentials,"Store-102 (Indiranagar, Bengaluru)",RETURNING,1,249.0,12.45,236.55,Debit Card
TXN_20240900023,2024-09-01,CUST_0408,PRD_M303,Cash Drawer 4-Slot Auto-Open,Merchant Essentials,"Store-104 (Banjara Hills, Hyderabad)",NEW,1,2299.0,0.0,2299.0,UPI
TXN_20240900024,2024-09-01,CUST_0079,PRD_M302,Voice Box Mounting Bracket,Merchant Essentials,"Store-104 (Banjara Hills, Hyderabad)",RETURNING,1,249.0,12.45,236.55,UPI
TXN_20240900025,2024-09-01,CUST_0260,PRD_S402,Automated Tally Accounting Sync,Software & Services,"Store-104 (Banjara Hills, Hyderabad)",RETURNING,1,1499.0,0.0,1499.0,Net Banking
TXN_20240900026,2024-09-01,CUST_0275,PRD_A204,Heavy Duty POS Lanyard Strap,Accessories,"Store-101 (Connaught Place, Delhi)",NEW,1,149.0,0.0,149.0,Credit Card
TXN_20240900027,2024-09-01,CUST_0086,PRD_A205,Bluetooth Audio Dongle Mini,Accessories,"Store-101 (Connaught Place, Delhi)",RETURNING,1,399.0,19.95,379.05,Paytm Wallet
TXN_20240900028,2024-09-01,CUST_0170,PRD_S403,Priority Settlement Annual Plan,Software & Services,"Store-104 (Banjara Hills, Hyderabad)",RETURNING,2,1999.0,0.0,3998.0,Credit Card
TXN_20240900029,2024-09-01,CUST_0286,PRD_A203,Thermal Receipt Rolls (Pack of 10),Accessories,"Store-105 (Park Street, Kolkata)",RETURNING,1,299.0,14.95,284.05,Credit Card
TXN_20240900030,2024-09-01,CUST_0354,PRD_A201,Soundbox Replacement Battery,Accessories,"Store-103 (BKC, Mumbai)",RETURNING,5,499.0,0.0,2495.0,Paytm Wallet
TXN_20240900031,2024-09-01,CUST_0044,PRD_E102,Paytm Card POS Terminal Neo,Electronics,"Store-102 (Indiranagar, Bengaluru)",RETURNING,1,4999.0,499.9,4499.1,UPI
TXN_20240900032,2024-09-01,CUST_0179,PRD_E105,Dynamic Display QR Standee,Electronics,"Store-104 (Banjara Hills, Hyderabad)",NEW,1,1299.0,64.95,1234.05,UPI
TXN_20240900033,2024-09-01,CUST_0023,PRD_M303,Cash Drawer 4-Slot Auto-Open,Merchant Essentials,"Store-101 (Connaught Place, Delhi)",RETURNING,1,2299.0,0.0,2299.0,Debit Card
TXN_20240900034,2024-09-01,CUST_0477,PRD_S403,Priority Settlement Annual Plan,Software & Services,"Store-102 (Indiranagar, Bengaluru)",RETURNING,1,1999.0,0.0,1999.0,UPI
TXN_20240900035,2024-09-01,CUST_0237,PRD_E103,Paytm Smart All-in-One POS,Electronics,"Store-104 (Banjara Hills, Hyderabad)",NEW,1,8499.0,0.0,8499.0,Credit Card
TXN_20240900036,2024-09-01,CUST_0203,PRD_E101,Paytm Soundbox 4.0 Pro,Electronics,"Store-105 (Park Street, Kolkata)",RETURNING,2,1499.0,0.0,2998.0,UPI
TXN_20240900037,2024-09-01,CUST_0110,PRD_E103,Paytm Smart All-in-One POS,Electronics,"Store-101 (Connaught Place, Delhi)",NEW,1,8499.0,849.9,7649.1,UPI
TXN_20240900038,2024-09-01,CUST_0188,PRD_E104,Wireless Barcode Scanner BT,Electronics,"Store-104 (Banjara Hills, Hyderabad)",NEW,1,1899.0,94.95,1804.05,UPI
TXN_20240900039,2024-09-01,CUST_0495,PRD_A205,Bluetooth Audio Dongle Mini,Accessories,"Store-105 (Park Street, Kolkata)",NEW,1,399.0,0.0,399.0,UPI
TXN_20240900040,2024-09-01,CUST_0181,PRD_M304,Merchant Branding Banner Kit,Merchant Essentials,"Store-105 (Park Street, Kolkata)",RETURNING,1,599.0,59.9,539.1,Net Banking
TXN_20240900041,2024-09-01,CUST_0303,PRD_E101,Paytm Soundbox 4.0 Pro,Electronics,"Store-102 (Indiranagar, Bengaluru)",RETURNING,2,1499.0,0.0,2998.0,UPI
TXN_20240900042,2024-09-01,CUST_0073,PRD_A201,Soundbox Replacement Battery,Accessories,"Store-104 (Banjara Hills, Hyderabad)",RETURNING,1,499.0,0.0,499.0,UPI
TXN_20240900043,2024-09-01,CUST_0276,PRD_M301,Acrylic QR Standee - Dual Bank,Merchant Essentials,"Store-102 (Indiranagar, Bengaluru)",RETURNING,1,349.0,0.0,349.0,UPI
TXN_20240900044,2024-09-01,CUST_0231,PRD_A204,Heavy Duty POS Lanyard Strap,Accessories,"Store-103 (BKC, Mumbai)",RETURNING,3,149.0,0.0,447.0,UPI
TXN_20240900045,2024-09-01,CUST_0288,PRD_A201,Soundbox Replacement Battery,Accessories,"Store-104 (Banjara Hills, Hyderabad)",RETURNING,1,499.0,24.95,474.05,UPI
TXN_20240900046,2024-09-01,CUST_0086,PRD_E101,Paytm Soundbox 4.0 Pro,Electronics,"Store-101 (Connaught Place, Delhi)",RETURNING,3,1499.0,0.0,4497.0,UPI
TXN_20240900047,2024-09-01,CUST_0148,PRD_E102,Paytm Card POS Terminal Neo,Electronics,"Store-104 (Banjara Hills, Hyderabad)",NEW,1,4999.0,499.9,4499.1,UPI
TXN_20240900048,2024-09-01,CUST_0262,PRD_E102,Paytm Card POS Terminal Neo,Electronics,"Store-101 (Connaught Place, Delhi)",RETURNING,1,4999.0,749.85,4249.15,UPI
TXN_20240900049,2024-09-01,CUST_0388,PRD_E101,Paytm Soundbox 4.0 Pro,Electronics,"Store-104 (Banjara Hills, Hyderabad)",NEW,1,1499.0,224.85,1274.15,UPI
TXN_20240900050,2024-09-01,CUST_0425,PRD_A205,Bluetooth Audio Dongle Mini,Accessories,"Store-102 (Indiranagar, Bengaluru)",RETURNING,1,399.0,0.0,399.0,UPI
TXN_20240900051,2024-09-01,CUST_0419,PRD_E101,Paytm Soundbox 4.0 Pro,Electronics,"Store-101 (Connaught Place, Delhi)",NEW,2,1499.0,0.0,2998.0,Debit Card
TXN_20240900052,2024-09-01,CUST_0302,PRD_M301,Acrylic QR Standee - Dual Bank,Merchant Essentials,"Store-105 (Park Street, Kolkata)",NEW,1,349.0,0.0,349.0,UPI
TXN_20240900053,2024-09-01,CUST_0106,PRD_M303,Cash Drawer 4-Slot Auto-Open,Merchant Essentials,"Store-101 (Connaught Place, Delhi)",RETURNING,1,2299.0,114.95,2184.05,UPI
